"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","simnumber","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
3,5,"ar1","randomwalk",0.8,NA,0.1,130,NA,1,58.1478509908018,58.3757863265206,0.581395348837209,0.514563106796116,0.989247311827957,58.7116018761672,0.679822129005059
3,5,"random","ar1",NA,0.2,0.1,13,NA,1,1.32605828471415,1.31878696708754,0.534883720930233,0.58252427184466,1,1.33943439028726,0.753189066251469
3,5,"random","ar1",NA,0.5,0.1,148,NA,0.973118279569892,63.7110493812724,63.4520000793011,0.697674418604651,0.466019417475728,1,64.3325090069984,0.667370328157499
3,5,"random","ar1",NA,0.8,0.1,193,NA,1,30.4255304108944,30.4312295599184,0.534883720930233,0.427184466019418,0.768817204301075,30.7500335211122,0.637382801997954
3,5,"random","random",NA,NA,0.1,40,NA,0.93010752688172,42.3188420734351,42.3515229746707,0.465116279069767,0.466019417475728,1,42.7203203062225,0.578066263732836
3,5,"random","randomwalk",NA,NA,0.1,67,NA,1,47.7685172924382,47.7208353182137,0.511627906976744,0.543689320388349,0.978494623655914,48.2005111477595,0.776961579607212
3,5,"randomwalk","ar1",NA,0.2,0.1,22,NA,1,15.122064694392,15.1473998236684,0.395348837209302,0.135922330097087,1,15.1982643488408,0.565425076089628
3,5,"randomwalk","ar1",NA,0.5,0.1,157,NA,0.795698924731183,19.786321562754,19.8229727385275,0.627906976744186,0.514563106796116,1,19.8550871915122,0.867421792152626
3,5,"randomwalk","ar1",NA,0.8,0.1,202,NA,1,39.1040643837483,39.0517963568996,0.534883720930233,0.242718446601942,1,39.1808722853051,0.699899889482844
3,5,"randomwalk","random",NA,NA,0.1,49,NA,0.881720430107527,1.48841498790152,1.482282970502,0.488372093023256,0.223300970873786,1,1.49589922261562,0.613007760357688
3,5,"randomwalk","randomwalk",NA,NA,0.1,76,NA,1,78.2814318843972,78.1744529551358,0.418604651162791,0.223300970873786,1,78.5140277496595,0.647181855214605
5,10,"ar1","ar1",0.2,0.2,0.1,8,NA,1,57.4537972572527,57.717644761187,0.558139534883721,0.242718446601942,1,57.7662021752073,0.635979187929709
5,10,"ar1","ar1",0.2,0.5,0.1,143,NA,0.983870967741935,0.998549679441068,0.993317278128447,0.604651162790698,0.262135922330097,1,0.995249469993523,0.757036192292311
5,10,"ar1","ar1",0.2,0.8,0.1,188,NA,1,95.2926408114948,95.1870801377448,0.651162790697674,0.475728155339806,1,96.1055140245833,0.659274806013664
5,10,"ar1","ar1",0.5,0.2,0.1,89,NA,1,78.5205607807576,79.0187464157562,0.651162790697674,0.466019417475728,1,79.755851513871,0.753570906435718
5,10,"ar1","ar1",0.5,0.5,0.1,170,NA,1,33.1362334073425,33.1258963042966,0.627906976744186,0.475728155339806,1,33.4100038821072,0.643973073403949
5,10,"ar1","ar1",0.5,0.8,0.1,215,NA,1,12.8161537059294,12.9270405300857,0.674418604651163,0.485436893203884,0.951612903225806,13.0353520282644,1.04281035074636
5,10,"ar1","ar1",0.8,0.2,0.1,116,NA,0.704301075268817,41.8227417610054,41.7514808514499,0.534883720930233,0.485436893203884,1,41.9755629208899,0.617233933415437
5,10,"ar1","ar1",0.8,0.5,0.1,179,NA,1,6.96642302609114,6.98330877260166,0.627906976744186,0.495145631067961,1,7.00737375437998,0.709997243219782
5,10,"ar1","ar1",0.8,0.8,0.1,224,NA,1,90.9969499907709,90.9729940731309,0.674418604651163,0.233009708737864,1,91.1411261080631,0.418529792401229
5,10,"ar1","random",0.2,NA,0.1,35,NA,1,134.699887231216,134.604289304976,0.558139534883721,0.446601941747573,1,135.498591528208,0.618079696014092
5,10,"ar1","random",0.5,NA,0.1,98,NA,0.989247311827957,68.9832829225478,68.8988731072005,0.697674418604651,0.504854368932039,1,69.1248642409138,0.543469645238537
5,10,"ar1","random",0.8,NA,0.1,125,NA,1,0.316847372121418,0.316361497259914,0.767441860465116,0.485436893203884,1,0.317913110584298,0.816574749849008
5,10,"ar1","randomwalk",0.2,NA,0.1,62,NA,0.876344086021505,69.7381629567977,69.5994423229511,0.720930232558139,0.466019417475728,1,69.6399365261054,0.749924573126446
5,10,"ar1","randomwalk",0.5,NA,0.1,107,NA,1,3.85923738704743,3.85501191617331,0.627906976744186,0.213592233009709,1,3.89536397888892,0.777941997347229
