"simnumber","sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","bf.i05","bf.i01","bf.i001","r.w","r.r2","w.r2","p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
22,0.478494623655914,0.768817204301075,0.827956989247312,0.887096774193548,0.854838709677419,0.817204301075269,-0.0196193296072243,0.00475009407985449," "," "," ",NA,1.00892751709357,1.23760189886897,3,5,"randomwalk","ar1",NA,0.2,0.1,NA,1,15.122064694392,15.1473998236684,0.395348837209302,0.135922330097087,1,15.1982643488408,0.565425076089628
23,0.731182795698925,0.634408602150538,0.967741935483871,0.89247311827957,0.93010752688172,0.779569892473118,0.022855408223391,-0.00771212004227849," "," ","***",NA,1.01414632445461,1.28642547847218,5,5,"randomwalk","ar1",NA,0.2,0.1,NA,0.994623655913978,42.3720178013408,42.6466026493916,0.558139534883721,0.16504854368932,1,42.787859064327,0.58153735983597
24,0.32258064516129,0.403225806451613,0.537634408602151,0.693548387096774,0.833333333333333,0.741935483870968,0.0988881151662325,0.0221398037045781," "," "," ",NA,0.999407550642395,1.2860710567618,10,5,"randomwalk","ar1",NA,0.2,0.1,NA,1,39.3981155423473,39.308600814382,0.534883720930233,0.087378640776699,1,39.3856740180499,0.668463246999682
25,0.349462365591398,0.811827956989247,0.532258064516129,0.887096774193548,0.833333333333333,0.827956989247312,-0.0291579804210887,-0.00886421658844997," "," ","***",NA,1.03885952538836,1.28728522914248,3,10,"randomwalk","ar1",NA,0.2,0.1,NA,1,61.621451627699,61.4329818937963,0.581395348837209,0.233009708737864,0.983870967741935,61.5917128636368,0.747356110801484
26,0.263440860215054,0.801075268817204,0.327956989247312,0.93010752688172,0.887096774193548,0.795698924731183,0.028995262449397,-0.00230897460013291," "," "," ",NA,0.998865887901789,1.29056983065936,5,10,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,76.693701430908,76.575324138876,0.581395348837209,0.485436893203884,1,76.6461000973044,0.699932859269585
27,0.532258064516129,0.747311827956989,0.67741935483871,0.795698924731183,0.833333333333333,0.774193548387097,0.0373753117595112,0.0707170279798329," "," "," ",NA,1.01542340134302,1.29056719218739,10,10,"randomwalk","ar1",NA,0.2,0.1,NA,1,70.3662616769614,70.2185740590764,0.511627906976744,0.106796116504854,1,70.3185855506344,0.661163947302274
28,0.467741935483871,0.672043010752688,0.833333333333333,0.82258064516129,0.913978494623656,0.763440860215054,-0.0304128582878941,-0.00523139379517618,"***","***","***",NA,1.00068980069771,1.29056957385655,3,3,"ar1","random",0.2,NA,0.1,NA,1,60.8950833035469,60.9301887214043,0.604651162790698,0.485436893203884,1,61.906513548566,0.602202509614307
29,0.467741935483871,0.682795698924731,0.752688172043011,0.833333333333333,0.838709677419355,0.849462365591398,-0.0577361186488172,-0.0114448827479602,"***","***","***",NA,1.0149332981181,1.29005136962687,5,3,"ar1","random",0.2,NA,0.1,NA,1,25.7107846030963,25.7600018763511,0.581395348837209,0.504854368932039,1,26.1349633773213,0.656218549392581
30,0.274193548387097,0.56989247311828,0.532258064516129,0.71505376344086,0.827956989247312,0.720430107526882,-0.0655301989087487,-0.00932830860905397,"***","***","***",NA,0.998932797880544,1.29056897397899,10,3,"ar1","random",0.2,NA,0.1,NA,0.978494623655914,67.4789052948564,67.9762397762007,0.627906976744186,0.524271844660194,1,68.6296391124013,0.644167544348805
31,0.354838709677419,0.693548387096774,0.709677419354839,0.844086021505376,0.806451612903226,0.774193548387097,0.0482607058906288,0.0238400025828258,"***","***","***",NA,1.03091906697795,1.2775571525804,3,5,"ar1","random",0.2,NA,0.1,NA,1,24.1305543422042,24.1176103907645,0.395348837209302,0.271844660194175,1,24.4130239982031,0.664814648843018
32,0.317204301075269,0.639784946236559,0.467741935483871,0.865591397849462,0.768817204301075,0.833333333333333,-0.0429100001672462,0.0169049509134338,"***","***","***",NA,1.02488780420747,1.19859796418208,5,5,"ar1","random",0.2,NA,0.1,NA,0.940860215053763,12.576327207585,12.5571499318903,0.581395348837209,0.485436893203884,1,12.6459949999934,0.768626013198111
33,0.645161290322581,0.591397849462366,0.82258064516129,0.78494623655914,0.89247311827957,0.827956989247312,-0.0354715188313984,-0.0175963052529305,"***","***","***",NA,1.00488735298015,1.29057018565542,10,5,"ar1","random",0.2,NA,0.1,NA,1,103.166835953066,103.412737764943,0.604651162790698,0.242718446601942,1,104.161408467448,0.506339177459376
34,0.543010752688172,0.559139784946237,0.779569892473118,0.78494623655914,0.897849462365591,0.704301075268817,0.031314494358134,0.00369282960340956,"***","***","***",NA,1.01304266364796,1.29054664562504,3,10,"ar1","random",0.2,NA,0.1,NA,0.994623655913978,76.1262275719243,76.4495524230384,0.395348837209302,0.0485436893203883,1,76.9801759467777,0.629612378094115
35,0.198924731182796,0.543010752688172,0.306451612903226,0.698924731182796,0.672043010752688,0.747311827956989,-0.00321508604744544,-0.00125238222457463,"***","***","***",NA,1.00012137842437,1.13647832145559,5,10,"ar1","random",0.2,NA,0.1,NA,1,134.699887231216,134.604289304976,0.558139534883721,0.446601941747573,1,135.498591528208,0.618079696014092
36,0.39247311827957,0.478494623655914,0.505376344086022,0.704301075268817,0.849462365591398,0.752688172043011,0.0572356078744552,0.0170858027474201,"***","***","***",NA,0.999227209166182,1.27591575794021,10,10,"ar1","random",0.2,NA,0.1,NA,0.994623655913978,64.8485837525832,64.7855494944514,0.534883720930233,0.262135922330097,1,65.0257048056316,0.505073723762883
37,0.28494623655914,0.580645161290323,0.526881720430108,0.790322580645161,0.827956989247312,0.731182795698925,0.00755710476268657,-0.00862734313822813,"***","***","***",NA,1.01593288102707,1.29058464103302,3,3,"random","random",NA,NA,0.1,NA,1,57.6704669657976,57.7595795211309,0.558139534883721,0.475728155339806,1,58.3662109030564,0.784994597246847
38,0.403225806451613,0.693548387096774,0.709677419354839,0.806451612903226,0.89247311827957,0.790322580645161,0.0403626737467975,0.0212670944278588,"***","***","***",NA,1.00880208014595,1.29043119434741,5,3,"random","random",NA,NA,0.1,NA,0.978494623655914,110.914231385827,111.382615330782,0.581395348837209,0.330097087378641,1,112.045054816211,0.697412338031353
39,0.43010752688172,0.672043010752688,0.758064516129032,0.768817204301075,0.903225806451613,0.779569892473118,0.0451440108113372,0.000459906301191422,"***","***","***",NA,1.03863508341728,1.29268813011094,10,3,"random","random",NA,NA,0.1,NA,1,71.4736743387153,71.3708820059694,0.720930232558139,0.553398058252427,1,72.2985471243412,0.569452834924345
40,0.575268817204301,0.698924731182796,0.951612903225806,0.860215053763441,0.919354838709677,0.768817204301075,0.0367900124183716,0.00883335012886607,"***","***","***",NA,1.01405947627246,1.29056977701183,3,5,"random","random",NA,NA,0.1,NA,0.93010752688172,42.3188420734351,42.3515229746707,0.465116279069767,0.466019417475728,1,42.7203203062225,0.578066263732836
41,0.376344086021505,0.478494623655914,0.71505376344086,0.774193548387097,0.854838709677419,0.758064516129032,0.0394713887010083,0.00966347514309299,"***","***","***",NA,1.08443884610353,1.29057122953877,5,5,"random","random",NA,NA,0.1,NA,1,20.3261855612677,20.3692576592203,0.697674418604651,0.446601941747573,0.983870967741935,20.5471642086016,0.604840366154178
42,0.32258064516129,0.741935483870968,0.489247311827957,0.849462365591398,0.795698924731183,0.763440860215054,0.00186036036761796,0.0173298714963968,"***","***","***",NA,1.01157564584667,1.2905170054593,10,5,"random","random",NA,NA,0.1,NA,1,58.9004851469715,58.9172018919129,0.674418604651163,0.242718446601942,1,59.4558095007718,0.628114455026645
43,0.32258064516129,0.736559139784946,0.440860215053763,0.860215053763441,0.698924731182796,0.779569892473118,0.0247398831009137,0.0159263397411106,"***","***","***",NA,1.00983161580683,1.22952947627463,3,10,"random","random",NA,NA,0.1,NA,1,16.2320146041811,16.2315352017814,0.604651162790698,0.145631067961165,1,16.4329720315153,0.799955700770052
44,0.28494623655914,0.543010752688172,0.408602150537634,0.71505376344086,0.747311827956989,0.71505376344086,0.0263882555154015,0.0468745555688369,"***","***","***",NA,1.03927211385833,1.29056982223848,5,10,"random","random",NA,NA,0.1,NA,0.994623655913978,36.1441279433874,36.1667904724713,0.651162790697674,0.446601941747573,1,36.5075803502242,0.840622767873895
45,0.344086021505376,0.768817204301075,0.60752688172043,0.82258064516129,0.881720430107527,0.790322580645161,-0.0341176139796246,-0.0498774864894496,"***","***","***",NA,1.00711862224494,1.29056448256068,10,10,"random","random",NA,NA,0.1,NA,1,41.7668551303306,41.68974161947,0.651162790697674,0.203883495145631,1,41.9129772314616,0.463587727097523
