"p.blocks","c.blocks","p.type","c.type","hetvar","useGSS","p.autocorr","c.autocorr","r2","simnumber","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
5,5,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,50,0.893518518518518,18.2774889019447,18.2485425115484,0.674418604651163,0.526315789473684,1,18.3276551621991,0.796694347024988
10,5,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,51,0.981481481481482,15.947908377964,15.9568385759435,0.534883720930233,0.526315789473684,1,16.1036236690117,0.897225190424733
3,10,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,52,1,60.4502473500897,60.6045718418885,0.534883720930233,0.517543859649123,1,60.9093942551632,0.803530735081349
5,10,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,53,1,75.4479081753361,75.267713563828,0.511627906976744,0.447368421052632,1,75.8320312078406,0.969053375245116
10,10,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,54,0.99537037037037,114.377921023542,114.374596314956,0.441860465116279,0.201754385964912,1,114.624908684574,0.528471338888441
3,3,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,55,1,192.270105326458,193.087507430032,0.511627906976744,0.56140350877193,1,193.741177976451,0.661058962683288
5,3,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,56,1,59.1149303406984,58.8887258476335,0.627906976744186,0.482456140350877,0.99537037037037,59.2392008167235,1.1478016840089
10,3,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,57,1,66.6158994574702,66.4254156891723,0.604651162790698,0.56140350877193,1,66.6049738153142,0.695617904083404
3,5,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,58,0.930555555555556,68.093369509249,67.9347563063875,0.581395348837209,0.447368421052632,1,68.1683432643897,0.811969255693246
5,5,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,59,0.990740740740741,95.9866732753542,95.5799610422711,0.418604651162791,0.254385964912281,1,95.7706119186759,0.657039723198455
10,5,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,60,1,24.5580831472188,24.6189952932746,0.372093023255814,0.245614035087719,1,24.7467444154142,0.668479222353385
3,10,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,61,0.791666666666667,72.808258338226,72.9845611224622,0.465116279069767,0.464912280701754,0.967592592592593,73.5652592569462,0.705506198302043
5,10,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,62,0.99537037037037,58.37376977177,58.4216397259708,0.651162790697674,0.491228070175439,1,58.7872843614745,0.717325732994531
10,10,"ar1","randomwalk",TRUE,TRUE,0.5,NA,0.1,63,0.981481481481482,84.6696435977807,84.7266253493747,0.302325581395349,0.0350877192982456,1,84.8614332130463,0.739801754853218
3,3,"random","randomwalk",TRUE,TRUE,NA,NA,0.1,64,0.837962962962963,198.178455001444,198.393562761933,0.465116279069767,0.552631578947368,1,199.445157980757,0.718906116049509
5,3,"random","randomwalk",TRUE,TRUE,NA,NA,0.1,65,1,86.8649177337224,86.7898955697498,0.558139534883721,0.236842105263158,0.99537037037037,87.341979121104,0.911888322538028
10,3,"random","randomwalk",TRUE,TRUE,NA,NA,0.1,66,1,19.3878831595975,19.4543078249023,0.651162790697674,0.552631578947368,0.99537037037037,19.6133175301701,0.818471027682087
3,5,"random","randomwalk",TRUE,TRUE,NA,NA,0.1,67,0.824074074074074,85.4862645295046,85.4138770223021,0.581395348837209,0.482456140350877,1,85.9362056843695,0.677988317049811
5,5,"random","randomwalk",TRUE,TRUE,NA,NA,0.1,68,1,27.8739867185462,27.6381528150381,0.488372093023256,0.166666666666667,1,28.3321515887501,0.718711742455265
